id,date_key,date_label,month_number,month_name,day,filename,source_image_path,site_image_path,raw_ocr_text,cleaned_text,author,special_type,include_in_default_archive,needs_review,notes,ocr_default,ocr_crop_gray,ocr_crop_contrast,ocr_color_mask,ocr_chosen_variant
jan-11,01-11,January 11,1,January,11,11_Jan.png,source_images/01_Jan/11_Jan.png,assets/quotes/01_Jan/11_Jan.png,"“What. do. you think the Ad wlio is on
one-year college football wonders in the
Jitst wound? We did the study over fe

years. H's. net very good.
- Will Kennicott, Coach, Dallas Lone Stars",What do you think the hit ratio is on one-year college football wonders in the first round? We did the study over five years. It's not very good.,"Will Kennicott, Coach, Dallas Lone Stars",,true,true,,"co Quote of the Day Qo
""What do you think the hit tio ts on
one-year college football wonders in the
Sist wund? We did the study over five
- Will Kennicott, Coach, Dallas Lone Stars","“What do you think the hit tio ts on
one-year college football wonders in the
fost wund? We did the study over fire

years. ls not very good.
- Will Kennicott, Coach, Dallas Lone Stars","“What do you think the hit tio is on
one-year college foothall wonder in the
fost wound? We did the study over fe

gears. ls not very good.
- Will Kennicott, Coach, Dallas Lone Stars","“What. do. you think the Ad wlio is on
one-year college football wonders in the
Jitst wound? We did the study over fe

years. H's. net very good.
- Will Kennicott, Coach, Dallas Lone Stars",ocr_color_mask
jan-12,01-12,January 12,1,January,12,12_Jan.png,source_images/01_Jan/12_Jan.png,assets/quotes/01_Jan/12_Jan.png,"“Sometimes, you lock at what's coming in
the duft, and you think you might ther
he 2-14 than 6-10. But ever team goes
inte. the week tuying to win:
- Cass Timberlane, GM, Cincinnati Tigers","Sometimes, you look at what's coming in the draft, and you think you might rather be 2-14 than 6-10. But every team goes into the week trying to win.","Cass Timberlane, GM, Cincinnati Tigers",,true,true,,"@ Quote of the Day c=)
“Sometimes, you look at what's coming in
the cuaft, and you think you might vather
be 244 than 6-10. But every team goes
inte the week tuying to win!

- Cass Timberlane, GM, Cincinnati Tigers","“Sometimes, you lock at what's coming in
the duft, and you think you might ther
he 2-14 than 6-10. But ever team goes
inte. the week tuying to win:
- Cass Timberlane, GM, Cincinnati Tigers","“Sometimes, you look at whats coming in
the daft, and you think you might rather
he 214 than 6-10. But every team goes
into- the week trying to- win:
- Cass Timberlane, GM, Cincinnati Tigers","“Ooinelines, you look at what's coming in
the dit, and you think you might wdher
be 244 than 6-10. but every team goes
ine the week trying (6 win.
- Cass Timberlane, GM, Cincinnati Tigers",ocr_crop_gray
jan-13,01-13,January 13,1,January,13,13_Jan.png,source_images/01_Jan/13_Jan.png,assets/quotes/01_Jan/13_Jan.png,"‘Lhe West Coast offense ts but acound
one position. All the production goes. tte
the guy wrung undemedh covcwumges. You
move o guy ate another postion and he's
still the same player, but ceeryone stads
calling him a Gne-yout guy.

- Mitt Dagget, GM, New Orleans Delta Rays","The West Coast offense is built around one position. All the production goes into the guy running underneath coverages. You move a guy into another position and he's still the same player, but everyone starts calling him a one-year guy.","Milt Dagget, GM, New Orleans Delta Rays",,true,true,,"co Quote of the Day Qo
‘The West Coast offense is built atound
one position. AL the production goes into-
the guy wnning undeineath coverges. You
move a guy inte. ancther position and he's
calling him a one-year guy:
- Milt Dagget, GM, New Orleans Delta Rays","‘The West Coast offense is built awund
the guy unning undemeath coveuges. You
move a guy inte ancther position and he’s

stil the same player, but everyone stads

calling him a one-year guy.
- Milt Dagget, GM, New Orleans Delta Rays","one postion. AL the production goes into.
the guy wunning undemeath coveuges. You
move a guy inte another postion and he's
stil the same player, but everyone stads
calling him a one-year guy.
- Milt Dagget, GM, New Orleans Delta Rays","‘Lhe West Coast offense ts but acound
one position. All the production goes. tte
the guy wrung undemedh covcwumges. You
move o guy ate another postion and he's
still the same player, but ceeryone stads
calling him a Gne-yout guy.

- Mitt Dagget, GM, New Orleans Delta Rays",ocr_color_mask
jan-14,01-14,January 14,1,January,14,14_Jan.png,source_images/01_Jan/14_Jan.png,assets/quotes/01_Jan/14_Jan.png,"“Now. that there ave eight divisions, winning
one of those thee in-division toad games
can make your season. Win twe, and
you've got youd a great team:

- Anthony Patch, Coach, Washington Landslides","Now that there are eight divisions, winning one of those three in-division road games can make your season. Win two, and you've got yourself a great team.","Anthony Patch, Coach, Washington Landslides",,true,true,,"@ Quote of the Day e@
“Now. that thee ae eight divisions, winning
can make your season. Win two, and
you've got yourself a great team!

- Anthony Patch, Coach, Washington Landslides","‘Now. that there ave eight divisions, winning
one of those thee in-division toad games
can make your season. Win two, and
youve got youself a grat team:

- Anthony Patch, Coach, Washington Landslides","“Now. that there ave eight divisions, winning
one of those thee in-division toad games
can make your season. Win twe, and
you've got youd a great team:

- Anthony Patch, Coach, Washington Landslides","‘Nou that there are cght dietsions, winning
one 6f these thice tn-division ead games
can make your season. Win two, and
youve got yourself a greed team.

- Anthony Patch, Coach, Washington Landslides",ocr_crop_contrast
jan-15,01-15,January 15,1,January,15,15_Jan.png,source_images/01_Jan/15_Jan.png,assets/quotes/01_Jan/15_Jan.png,"7 want a safety who. can be an extu
defender in the hex, go cut and cover the
slot in nickel situations and have the tnge
to dip and play the deep ball. There are
only thee of those guys in the league ught
now, and maybe there's one in any gwen

dust.
- Benji Steinberg, Coach, Baltimore Nightwings","I want a safety who can be an extra defender in the box, go out and cover the slot in nickel situations and have the range to drop and play the deep ball. There are only three of those guys in the league right now, and maybe there's one in any given draft.","Benj Steinberg, Coach, Baltimore Nightwings",,true,true,,"co Quote of the Day Qo
‘T want w safety who can be an extu
defender in the box, go out and cover the
slot in nickel situations and have the wnge
to dip and play the deep ball. There ae
only thee of those guys in the league ught
daft:
- Benji Steinberg, Coach, Baltimore Nightwings","T want a safety who can be an extu
defender in the box, go cut and cover the
slot in nickel situations and have the ange
to diop and play the deep ball. [hee we
only thee of those guys in the league ught
now, and maybe there's one in any given
- Benji Steinberg, Coach, Baltimore Nightwings","7 want a safety who. can be an extu
defender in the hex, go cut and cover the
slot in nickel situations and have the tnge
to dip and play the deep ball. There are
only thee of those guys in the league ught
now, and maybe there's one in any gwen

dust.
- Benji Steinberg, Coach, Baltimore Nightwings","T want a safely who can be an ext
defender in the box, go out and cover the
slot in nickel sduations and have the wnge
lo dep and play the deep ball. There are

only thice of these guys. tn the league ght
now, and maybe there's one th any given
- Benj Steinberg, Coach, Baltimore Nightwings",ocr_crop_contrast
jan-16,01-16,January 16,1,January,16,16_Jan.png,source_images/01_Jan/16_Jan.png,assets/quotes/01_Jan/16_Jan.png,"""A quwtetback must lean how. not to. lose
before he can gusp winning:
- Adam Trask, Pittsburgh Ironmen",A quarterback must learn how not to lose before he can grasp winning.,"Adam Trask, Pittsburgh Ironmen",,true,true,,"co Quote of the Day Qo
""A quadethack must lean how. not to- lose
before he can gusp winning:
- Adam Trask, Pittsburgh Ironmen","""A qguvdetack must lean how. not to lose
before he can gusp winning:
- Adam Trask, Pittsburgh Ironmen","""A quwtetback must lean how. not to. lose
before he can gusp winning:
- Adam Trask, Pittsburgh Ironmen","A guederback must lecur how. not to lose
before he can gusp wouuting.
- Adam Trask, Pittsburgh Ironmen",ocr_crop_contrast
jan-17,01-17,January 17,1,January,17,17_Jan.png,source_images/01_Jan/17_Jan.png,assets/quotes/01_Jan/17_Jan.png,"“When you duift a player you duft a
human being and you get to know these
guys and you know. how. passionate they
av and how. badly they want to play. Tt

tugs on you pretty hard.”
- Ted Thompson",When you draft a player you draft a human being and you get to know these guys and you know how passionate they are and how badly they want to play. It tugs on you pretty hard.,Ted Thompson,,true,true,,"@ Quote of the Day e@
“When you duft a player you duft a
human being and you get to know. these
guys and you know. how. passionate they
ae and how. badly they want to play. 1

tugs on you pretty hard.”

- Ted Thompson","“When you duift a player you duft a
human being and you get to know these
guys and you know. how. passionate they
av and how. badly they want to play. Tt

tugs on you pretty hard.”
- Ted Thompson","“When you duft a plager you duft a
human being and you get to know these
guys and you know how passionate they
ave and how badly they want to- play. 1

tugs en you pretty hard.”
- Ted Thompson","‘When you deft « player you deft a
human being and you get to know. these
guys. and you know hou passionate they
ave and how. badly they want to play. K

lugs on you prcly heard.”
- Ted Thompson",ocr_crop_gray
jan-18,01-18,January 18,1,January,18,18_Jan.png,source_images/01_Jan/18_Jan.png,assets/quotes/01_Jan/18_Jan.png,"‘Quwdethacks geneully play well until they
don't. And then they shouldn't’
- Donald Kenyon Hill, Poet Laureate of Football",Quarterbacks generally play well until they don't. And then they shouldn't.,"Donald Kenyon Hill, Poet Laureate of Football",,true,true,,"co Quote of the Day Qo
“Queterbacks geneully play well untl they
don't. And then they shouldn't’
- Donald Kenyon Hill, Poet Laureate of Football","‘Quwdethacks geneully play well until they
don't. And then they shouldn't’
- Donald Kenyon Hill, Poet Laureate of Football","‘Quadethacks geneully play well until they
dont. And then they shouldn't’
- Donald Kenyon Hill, Poet Laureate of Football","‘Cuaderbacks. geneully play well untl they
dont. And then they should
- Donald Kenyon Hill, Poet Laureate of Football",ocr_crop_gray
jan-19,01-19,January 19,1,January,19,19_Jan.png,source_images/01_Jan/19_Jan.png,assets/quotes/01_Jan/19_Jan.png,"""Foothall ts a chess game to. me. Tf you
move your pawn against my bishop, TH
counter that move to beat you. foothall is
the same way.1 study so much fim that 7
know exactly what teams ae going to do.7
love knowing what a offense is going to-
nun and stuffing that play.”
- Junior Seau","Football is a chess game to me. If you move your pawn against my bishop, I'll counter that move to beat you. Football is the same way. I study so much film that I know exactly what teams are going to do. I love knowing what an offense is going to run and stuffing that play.",Junior Seau,,true,true,,"@ Quote of the Day e@
“Toothall is w chess game to: me. Tf you
move your pawn against my bishop, TL
counter that move to beat you. Foothall is

the same way.7 study so much film that T

know. exactly what teams ae going to do.7
love knowing what a offense is going to-

Baer Seng chee Bl
- Junior Seau","‘Toothall is a chess game te me. Tf you
move yowr pawn against my bishop, Tt
counter that move to beat you. Foothall is

the same way.1 study so much film that 1
know exactty what teams we going to do.1
love knowing what a offense is going to
un and stuffing that play.”

- Junior Seau","""Foothall ts a chess game to. me. Tf you
move your pawn against my bishop, TH
counter that move to beat you. foothall is
the same way.1 study so much fim that 7
know exactly what teams ae going to do.7
love knowing what a offense is going to-
nun and stuffing that play.”
- Junior Seau","‘Toothedl ts. a chess. game te me. Tf you
move your pouwn against my bishop, Te
counter thet move to. beat you. football is
the scune way. 1 study so much film that |
know. exactly whet tecuns. are going to do. 1
love knowing what a offense ts going
wn and stuffing that play.
- Junior Seau",ocr_crop_contrast
jan-20,01-20,January 20,1,January,20,20_Jan.png,source_images/01_Jan/20_Jan.png,assets/quotes/01_Jan/20_Jan.png,"Teople say we haven't signed big free
agents, but they lose sight of the fact that
we signed significant players 6f curt own.”
- Kevin Colbert","People say we haven't signed big free agents, but they lose sight of the fact that we signed significant players of our own.",Kevin Colbert,,true,true,,"[eS ss QuoteoftheDay
“People say we havent signed big free
agents, but they lose sight of the fact that

- Kevin Colbert","‘People say we havent signed hig free
agents, but they lose sight of the fact that
- Kevin Colbert","""People say we havent signed hig free
agents, but they lose sight of the fact that
- Kevin Colbert","Teople say we haven't signed big free
agents, but they lose sight of the fact that
we signed significant players 6f curt own.”
- Kevin Colbert",ocr_color_mask
jan-21,01-21,January 21,1,January,21,21_Jan.png,source_images/01_Jan/21_Jan.png,assets/quotes/01_Jan/21_Jan.png,"‘There ts only so much talent avatlable. T's
important to. know. what tuts you value
the most in players, and what you can win
with.

- Doremus Jessup, GM, New England Colonials","There is only so much talent available. It's important to know what traits you value the most in players, and what you can win with.","Doremus Jessup, GM, New England Colonials",,true,true,,"@ Quote of the Day c=)
‘There ts only so much talent available. T's
important to know. what tuuts you value
with”

- Doremus Jessup, GM, New England Colonials","‘There ts only so much talent avatable. és
important to. know what tuuts you value
the most in players, and what you can win
with.

- Doremus Jessup, GM, New England Colonials","‘There ts only so much talent avatlable. T's
important to. know. what tuts you value
the most in players, and what you can win
with.

- Doremus Jessup, GM, New England Colonials","‘Chere ts. ently se much tatent avadeable. H's
inpodant to know whe tus you value
the most ir players, and what you can win
auth.

- Doremus Jessup, GM, New England Colonials",ocr_crop_contrast
jan-22,01-22,January 22,1,January,22,22_Jan.png,source_images/01_Jan/22_Jan.png,assets/quotes/01_Jan/22_Jan.png,"‘Tmynessed by a lot of passing yards? Od
you know that quaderhacks thiowing for
move than 850 yards ave 462-464 -8
since 1974. Passing yardage alone tells
only a small pwd of the story:

- Mac McLeod, League Statistician",Impressed by a lot of passing yards? Did you know that quarterbacks throwing for more than 350 yards are 462-464-3 since 1974. Passing yardage alone tells only a small part of the story.,"Mac McLeod, League Statistician",,true,true,,"@ Quote of the Day c=)
“Impressed by a lot of passing yous? Did
more than 850 yous av 462-464-383
since 1974. Passing youlage alone tells
only w small part of the story’

- Mac McLeod, League Statistician","‘Tmynessed by a lot of passing yards? Od
you know that quaderhacks thiowing for
move than 850 yards ave 462-464 -8
since 1974. Passing yardage alone tells
only a small pwd of the story:

- Mac McLeod, League Statistician","“Impressed by a lot of passing yards? Od
you know that qguaderhacks thiwing for
move than 350 yards ae 462-464-8
since 1974. Passing yardage alone tells
only a small pad of the story.

- Mac McLeod, League Statistician","Tinpressed by « lot 6f passing yards? Od
you know. thet quaderbacks. howing 76%
more than 3dO0 yards ave F62-4F64-3
since 1974. Passing yaulage alone tells
only « smell pod of the story.

- Mac McLeod, League Statistician",ocr_crop_gray
jan-23,01-23,January 23,1,January,23,23_Jan.png,source_images/01_Jan/23_Jan.png,assets/quotes/01_Jan/23_Jan.png,"‘Chad team never keeps. thete daft picks
healthy. When 1 see thet, | see a doctor
whe court tell the difference between an
nyury and a cewer-ending issue. Everyone
gets. tnywied at some pout in college.
- Benj Steinberg, Coach, Baltimore Nightwings","That team never keeps their draft picks healthy. When I see that, I see a doctor who can't tell the difference between an injury and a career-ending issue. Everyone gets injured at some point in college.","Benj Steinberg, Coach, Baltimore Nightwings",,true,true,,"@ Quote of the Day c=)
healthy. When 7 see that,7 see a doctor
aywiy and w coreer-ending issue. Everyone
gets ined at some potnt in college”

- Benji Steinberg, Coach, Baltimore Nightwings","‘That team never keeps their duift picks
healthy. When 7 see that, 1 see a doctor
injury and a cweer-ending issue. Everyone
gets injwed at some point in college:

- Benji Steinberg, Coach, Baltimore Nightwings","‘That team never keeps theiv duift picks
healthy. When T see that, 1 see a doctor
injury and a cweer-ending issue. Everyone
gets injwed at some point in college:

- Benji Steinberg, Coach, Baltimore Nightwings","‘Chad team never keeps. thete daft picks
healthy. When 1 see thet, | see a doctor
whe court tell the difference between an
nyury and a cewer-ending issue. Everyone
gets. tnywied at some pout in college.
- Benj Steinberg, Coach, Baltimore Nightwings",ocr_color_mask
jan-24,01-24,January 24,1,January,24,24_Jan.png,source_images/01_Jan/24_Jan.png,assets/quotes/01_Jan/24_Jan.png,"""A good defensive coorulnater loves seeing
a litte guy in the backfield. Runnews whe.
cannot block better he able to. make t in the
slot because they will be exposed quickly:

- Eugene Witla, Coach, Jacksonville Cougars",A good defensive coordinator loves seeing a little guy in the backfield. Runners who cannot block better be able to make it in the slot because they will be exposed quickly.,"Eugene Witla, Coach, Jacksonville Cougars",,true,true,,"@ Quote of the Day c=)
a little guy in the backfield. Runners who.
cannot block better be able to. make it in the
slot because they will be exposed quickly’

- Eugene Witla, Coach, Jacksonville Cougars","""A good defenswe cocrdinater loves seeing
a litte guy in the backfield. Runners who-
cannot block better be able te. make in the
slot because they will be exposed quickly”

- Eugene Witla, Coach, Jacksonville Cougars","""A good defensive coorulnater loves seeing
a litte guy in the backfield. Runnews whe.
cannot block better he able to. make t in the
slot because they will be exposed quickly:

- Eugene Witla, Coach, Jacksonville Cougars","‘A good defensive coordinate loves. seeing
a like guy in the backfidd. Runners. whe-
cannot block better be able to. make din the
slot because they will be exposed quickly.

- Eugene Witla, Coach, Jacksonville Cougars",ocr_crop_contrast
jan-25,01-25,January 25,1,January,25,25_Jan.png,source_images/01_Jan/25_Jan.png,assets/quotes/01_Jan/25_Jan.png,"“oome guaderbacks. cont tmproevise, hriow:
From odd angles, df ferent rlease spots
coery time. that makes. defense
exponentially tougher.
- Nick Carraway, Coach, Buffalo Snow Riders","Some quarterbacks can improvise, throw from odd angles, different release spots every time. That makes defense exponentially tougher.","Nick Carraway, Coach, Buffalo Snow Riders",,true,true,,"@ Quote of the Day e@
‘Some quaderhacks can improvise, thiow-
every time. That makes defense
exponentially tougher:

- Nick Carraway, Coach, Buffalo Snow Riders","‘dome guatethacks can inynovise, throw
from odd angles, different release spots
every time. [hat makes defense
exponentially tougher:
- Nick Carraway, Coach, Buffalo Snow Riders","‘Some quvdetbacks can improvise, throw
from odd angtes, different release spots
every time. [hat makes defense
exponentially tougher.
- Nick Carraway, Coach, Buffalo Snow Riders","“oome guaderbacks. cont tmproevise, hriow:
From odd angles, df ferent rlease spots
coery time. that makes. defense
exponentially tougher.
- Nick Carraway, Coach, Buffalo Snow Riders",ocr_color_mask
